"ZCTA","STATE","COUNTY","NAME","LSAD","new_constructions","existing_constructions","total_single_family_households_since_2000","total_single_family_households","new_existing_constructions_ratio","share_single_family_new_constructions","area_type","brks","CENSUSAREA","zcta_area","intersected_area","percent_intersected_area","AFFGEOID10","GEOID10","ALAND10","AWATER10"
"20770",24,"033","Prince George's","County",267,9908,121,3453,0.03,0.45,"Suburban","0.83",482.691,21484671.5211565,21484671.5211565,1,"8600000US20770","20770",21272824,195270
"20772",24,"033","Prince George's","County",4049,11475,3770,14322,0.35,0.93,"Suburban","1",482.691,188817915.9938,188794910.960395,0.999878162867737,"8600000US20772","20772",185255028,3659969
"20774",24,"033","Prince George's","County",4520,12114,3792,13640,0.37,0.84,"Suburban","1",482.691,90390513.6207807,90373288.1188755,0.999809432414805,"8600000US20774","20774",89938911,485768
"20781",24,"033","Prince George's","County",290,3552,188,2393,0.08,0.65,"Suburban","0.83",482.691,6499646.20647645,6499646.4412961,1.00000003612807,"8600000US20781","20781",6302720,206625
"20782",24,"033","Prince George's","County",1344,10072,57,5329,0.13,0.04,"Suburban","0.29",482.691,11157365.1533222,11157365.1533222,1,"8600000US20782","20782",10999559,90332
"20783",24,"033","Prince George's","County",174,12575,44,5741,0.01,0.25,"Suburban","0.29",482.691,14547634.7671438,14542399.4103602,0.999640123163156,"8600000US20783","20783",14565334,25155
"20784",24,"033","Prince George's","County",498,9169,331,6276,0.05,0.66,"Suburban","0.83",482.691,11012159.5845405,11012159.5845405,1,"8600000US20784","20784",11030335,1897
"20785",24,"033","Prince George's","County",2113,11633,954,9102,0.18,0.45,"Suburban","0.83",482.691,25631917.3837118,25631917.3837118,1,"8600000US20785","20785",25601878,43907
"20812",24,"031","Montgomery","County",7,94,7,100,0.07,1,"Suburban","1",491.254,876482.654953003,876482.689589024,1.00000003951706,"8600000US20812","20812",493979,371048
"20814",24,"031","Montgomery","County",1614,11185,462,5539,0.14,0.29,"Suburban","0.29",491.254,13206170.6888839,13206170.6888839,1,"8600000US20814","20814",13193941,52881
"20815",24,"031","Montgomery","County",859,12089,394,7161,0.07,0.46,"Suburban","0.83",491.254,14101992.6560829,14102936.473664,1.00006692795864,"8600000US20815","20815",14068402,35093
"20816",24,"031","Montgomery","County",233,5930,195,4733,0.04,0.84,"Suburban","1",491.254,10625517.4215522,10619779.3284448,0.999459970476757,"8600000US20816","20816",9049816,1479504
"20817",24,"031","Montgomery","County",1292,11853,978,11281,0.11,0.76,"Suburban","0.83",491.254,36217630.3860575,36217630.3860575,1,"8600000US20817","20817",35973981,195398
"20818",24,"031","Montgomery","County",87,629,74,659,0.14,0.85,"Suburban","1",491.254,3645859.43826887,3645859.56255531,1.00000003408975,"8600000US20818","20818",2639801,1122941
"20832",24,"031","Montgomery","County",873,7870,669,7968,0.11,0.77,"Suburban","0.83",491.254,26114576.2806139,26114576.2806139,1,"8600000US20832","20832",26074532,55398
"20833",24,"031","Montgomery","County",414,2047,414,2433,0.2,1,"Suburban","1",491.254,52390690.5084374,47461298.3304338,0.905910914130636,"8600000US20833","20833",50717315,1714127
"20837",24,"031","Montgomery","County",263,1746,263,2009,0.15,1,"Suburban","1",491.254,118529174.142168,118529159.75714,0.999999878637232,"8600000US20837","20837",110285314,7937370
"20838",24,"031","Montgomery","County",0,105,0,105,0,-1,"Suburban","-1",491.254,7012613.16269064,7012613.16269064,1,"8600000US20838","20838",6996666,21554
"20839",24,"031","Montgomery","County",0,17,0,17,0,-1,"Suburban","-1",491.254,12748897.0177481,12748897.0177481,1,"8600000US20839","20839",12689689,41061
"20841",24,"031","Montgomery","County",2115,838,1995,2833,2.52,0.94,"Suburban","1",491.254,69665244.3398016,69665244.3398016,1,"8600000US20841","20841",67306695,2337391
"20842",24,"031","Montgomery","County",79,599,65,664,0.13,0.82,"Suburban","0.83",491.254,144607550.591817,105801260.974307,0.731644098398098,"8600000US20842","20842",138659219,6271342
"20850",24,"031","Montgomery","County",6582,12151,2863,11463,0.54,0.43,"Suburban","0.83",491.254,36728390.1645798,36728390.1645798,1,"8600000US20850","20850",36498268,194607
"20851",24,"031","Montgomery","County",413,4478,11,3369,0.09,0.03,"Suburban","0.29",491.254,6086656.01204705,6086656.01204705,1,"8600000US20851","20851",6127195,2088
"20852",24,"031","Montgomery","County",4200,16197,201,7112,0.26,0.05,"Suburban","0.29",491.254,21577225.4165254,21577225.4165254,1,"8600000US20852","20852",21573341,41315
"20853",24,"031","Montgomery","County",272,9579,272,8688,0.03,1,"Suburban","1",491.254,23738254.9755324,23738254.9755324,1,"8600000US20853","20853",23423902,243714
"20854",24,"031","Montgomery","County",1168,15513,988,16461,0.08,0.85,"Suburban","1",491.254,94509865.763139,94509716.683898,0.999998422606574,"8600000US20854","20854",87457161,7157204
"20855",24,"031","Montgomery","County",253,4689,192,4697,0.05,0.76,"Suburban","0.83",491.254,34561750.5600028,34561750.5600028,1,"8600000US20855","20855",34005810,573759
"20860",24,"031","Montgomery","County",336,560,336,738,0.6,1,"Suburban","1",491.254,9907308.87969363,9907308.87969363,1,"8600000US20860","20860",9856223,26973
"20861",24,"031","Montgomery","County",141,422,141,563,0.33,1,"Suburban","1",491.254,9899572.0799509,9882424.5575065,0.998267852155032,"8600000US20861","20861",9943908,18520
"20862",24,"031","Montgomery","County",11,105,11,116,0.1,1,"Suburban","1",491.254,3066795.38869667,3060117.18760082,0.99782241713273,"8600000US20862","20862",3041532,15389
"20866",24,"031","Montgomery","County",324,4328,324,4174,0.07,1,"Suburban","1",491.254,18970552.5146591,18899859.6398902,0.996273546871431,"8600000US20866","20866",18308467,618521
"20868",24,"031","Montgomery","County",35,198,35,233,0.18,1,"Suburban","1",491.254,5203895.03634545,5203895.03634545,1,"8600000US20868","20868",5193589,5002
"20871",24,"031","Montgomery","County",4508,1172,4009,5108,3.85,0.89,"Suburban","1",491.254,53356061.8743873,50702602.3669164,0.950268827678517,"8600000US20871","20871",53184241,138208
"20872",24,"031","Montgomery","County",450,3868,423,4013,0.12,0.94,"Suburban","1",491.254,54048798.5348558,54045586.4677548,0.99994057098052,"8600000US20872","20872",53903254,114209
"20874",24,"031","Montgomery","County",3547,18347,2084,14327,0.19,0.59,"Suburban","0.83",491.254,58459166.0035546,58459163.908223,0.999999964157347,"8600000US20874","20874",55154305,3336889
"20876",24,"031","Montgomery","County",1313,7083,760,6208,0.19,0.58,"Suburban","0.83",491.254,30336821.1588094,30336821.1588094,1,"8600000US20876","20876",30253550,122385
"20877",24,"031","Montgomery","County",2115,10469,926,6222,0.2,0.44,"Suburban","0.83",491.254,14983548.7681346,14983548.7681346,1,"8600000US20877","20877",14924569,89639
"20878",24,"031","Montgomery","County",3266,19495,2188,16457,0.17,0.67,"Suburban","0.83",491.254,57765090.7877636,57765090.7877636,1,"8600000US20878","20878",56743636,1016907
"20879",24,"031","Montgomery","County",415,7886,230,6346,0.05,0.55,"Suburban","0.83",491.254,19980480.4733474,19980480.4733474,1,"8600000US20879","20879",19864991,103632
"20880",24,"031","Montgomery","County",11,189,11,198,0.06,1,"Suburban","1",491.254,606894.016048491,606894.016048491,1,"8600000US20880","20880",615162,0
"20882",24,"031","Montgomery","County",690,3759,690,4397,0.18,1,"Suburban","1",491.254,100399626.129996,100372677.239197,0.999731583753471,"8600000US20882","20882",99941219,426640
"20886",24,"031","Montgomery","County",237,11590,91,8587,0.02,0.38,"Suburban","0.83",491.254,12408205.5991739,12408205.5991739,1,"8600000US20886","20886",12123927,235706
"20895",24,"031","Montgomery","County",285,6701,228,6049,0.04,0.8,"Suburban","0.83",491.254,10611844.9100863,10611844.9100863,1,"8600000US20895","20895",10538006,78772
"20896",24,"031","Montgomery","County",15,311,15,326,0.05,1,"Suburban","1",491.254,650561.16475445,650561.16475445,1,"8600000US20896","20896",641487,3411
"20899",24,"031","Montgomery","County",0,120,0,0,0,-1,"Suburban","-1",491.254,191068.137811244,191068.137811244,1,"8600000US20899","20899",204571,0
"20901",24,"031","Montgomery","County",249,12255,172,9122,0.02,0.69,"Suburban","0.83",491.254,13975368.8919389,13975368.8919389,1,"8600000US20901","20901",13943441,70055
"20902",24,"031","Montgomery","County",1805,14851,681,11788,0.12,0.38,"Suburban","0.83",491.254,19760898.065731,19760898.065731,1,"8600000US20902","20902",19640642,77099
"20903",24,"031","Montgomery","County",146,6991,7,2774,0.02,0.05,"Suburban","0.29",491.254,9296222.28550817,8118113.43925023,0.873270151027425,"8600000US20903","20903",9329135,4751
"20904",24,"031","Montgomery","County",2731,18177,1018,11830,0.15,0.37,"Suburban","0.83",491.254,35606543.836366,35276315.7463671,0.990725634829471,"8600000US20904","20904",35467249,98898
"20905",24,"031","Montgomery","County",314,5558,306,5808,0.06,0.97,"Suburban","1",491.254,33858458.7586198,33835165.5212567,0.999312040824743,"8600000US20905","20905",33278713,554978
"20906",24,"031","Montgomery","County",1785,23274,784,14089,0.08,0.44,"Suburban","0.83",491.254,31436186.5011489,31436186.5011489,1,"8600000US20906","20906",31274656,196973
"20910",24,"031","Montgomery","County",3799,15762,291,6209,0.24,0.08,"Suburban","0.29",491.254,11894977.8716655,11894979.9570951,1.00000017532018,"8600000US20910","20910",11772250,29563
