FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Owner occupied,Renter occupied
ACSSF,2009e5,wv,000,0096,0000170,060,54,049,06000US5404993594,"West Augusta district, Marion County, West Virginia",6734,5358,1376
ACSSF,2009e5,wv,000,0096,0000171,060,54,051,06000US5405190780,"District 1, Marshall County, West Virginia",4779,3695,1084
ACSSF,2009e5,wv,000,0096,0000172,060,54,051,06000US5405190816,"District 2, Marshall County, West Virginia",4174,2950,1224
ACSSF,2009e5,wv,000,0096,0000173,060,54,051,06000US5405190852,"District 3, Marshall County, West Virginia",5202,4169,1033
ACSSF,2009e5,wv,000,0096,0000174,060,54,053,06000US5405390048,"Arbuckle district, Mason County, West Virginia",348,341,7
ACSSF,2009e5,wv,000,0096,0000175,060,54,053,06000US5405390612,"Clendenin district, Mason County, West Virginia",1618,1314,304
ACSSF,2009e5,wv,000,0096,0000176,060,54,053,06000US5405390648,"Cologne district, Mason County, West Virginia",569,470,99
ACSSF,2009e5,wv,000,0096,0000177,060,54,053,06000US5405390660,"Cooper district, Mason County, West Virginia",575,514,61
ACSSF,2009e5,wv,000,0096,0000178,060,54,053,06000US5405391260,"Graham district, Mason County, West Virginia",1264,974,290
ACSSF,2009e5,wv,000,0096,0000179,060,54,053,06000US5405391512,"Hannan district, Mason County, West Virginia",1052,862,190
ACSSF,2009e5,wv,000,0096,0000180,060,54,053,06000US5405391860,"Lewis district, Mason County, West Virginia",2515,1819,696
ACSSF,2009e5,wv,000,0096,0000181,060,54,053,06000US5405392652,"Robinson district, Mason County, West Virginia",1103,819,284
ACSSF,2009e5,wv,000,0096,0000182,060,54,053,06000US5405393264,"Union district, Mason County, West Virginia",545,420,125
ACSSF,2009e5,wv,000,0096,0000183,060,54,053,06000US5405393432,"Waggener district, Mason County, West Virginia",1126,894,232
ACSSF,2009e5,wv,000,0096,0000184,060,54,055,06000US5405590900,"District I, Mercer County, West Virginia",8336,6005,2331
ACSSF,2009e5,wv,000,0096,0000185,060,54,055,06000US5405590912,"District II, Mercer County, West Virginia",9848,6890,2958
ACSSF,2009e5,wv,000,0096,0000186,060,54,055,06000US5405590924,"District III, Mercer County, West Virginia",7448,5967,1481
ACSSF,2009e5,wv,000,0096,0000187,060,54,057,06000US5405790784,"District 1, Mineral County, West Virginia",3687,3045,642
ACSSF,2009e5,wv,000,0096,0000188,060,54,057,06000US5405790820,"District 2, Mineral County, West Virginia",3909,2417,1492
ACSSF,2009e5,wv,000,0096,0000189,060,54,057,06000US5405790856,"District 3, Mineral County, West Virginia",3710,3230,480
ACSSF,2009e5,wv,000,0096,0000190,060,54,059,06000US5405990141,"Beech Ben Mate district, Mingo County, West Virginia",1558,1111,447
ACSSF,2009e5,wv,000,0096,0000191,060,54,059,06000US5405991770,"Kermit Harvey district, Mingo County, West Virginia",1717,1429,288
ACSSF,2009e5,wv,000,0096,0000192,060,54,059,06000US5405991848,"Lee district, Mingo County, West Virginia",1704,1357,347
ACSSF,2009e5,wv,000,0096,0000193,060,54,059,06000US5405992064,"Magnolia district, Mingo County, West Virginia",1342,869,473
ACSSF,2009e5,wv,000,0096,0000194,060,54,059,06000US5405993012,"Stafford district, Mingo County, West Virginia",1724,1388,336
ACSSF,2009e5,wv,000,0096,0000195,060,54,059,06000US5405993162,"Tug Hardee district, Mingo County, West Virginia",1494,1232,262
ACSSF,2009e5,wv,000,0096,0000196,060,54,059,06000US5405993696,"Williamson district, Mingo County, West Virginia",2052,1260,792
