FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Married-couple family:,With own children under 18 years:,Under 6 years only,Under 6 years and 6 to 17 years,6 to 17 years only,No own children under 18 years,Other family:,"Male householder, no wife present:",With own children under 18 years:,Under 6 years only,Under 6 years and 6 to 17 years,6 to 17 years only,No own children under 18 years,"Female householder, no husband present:",With own children under 18 years:,Under 6 years only,Under 6 years and 6 to 17 years,6 to 17 years only,No own children under 18 years
ACSSF,2010e5,wv,000,0034,0000080,060,54,007,06000US5400790968,"Eastern district, Braxton County, West Virginia",759,619,180,20,61,99,439,140,29,9,0,4,5,20,111,69,20,18,31,42
ACSSF,2010e5,wv,000,0034,0000081,060,54,007,06000US5400792346,"Northern district, Braxton County, West Virginia",931,775,214,52,22,140,561,156,39,8,0,0,8,31,117,33,11,4,18,84
ACSSF,2010e5,wv,000,0034,0000082,060,54,007,06000US5400792922,"Southern district, Braxton County, West Virginia",1162,901,307,26,76,205,594,261,106,60,0,0,60,46,155,101,22,21,58,54
ACSSF,2010e5,wv,000,0034,0000083,060,54,007,06000US5400793597,"Western district, Braxton County, West Virginia",1052,903,180,22,13,145,723,149,39,11,0,0,11,28,110,94,28,3,63,16
ACSSF,2010e5,wv,000,0034,0000084,060,54,009,06000US5400991104,"Follansbee district, Brooke County, West Virginia",2547,2011,652,138,141,373,1359,536,129,55,29,0,26,74,407,209,97,9,103,198
ACSSF,2010e5,wv,000,0034,0000085,060,54,009,06000US5400993552,"Weirton district, Brooke County, West Virginia",2083,1443,369,11,178,180,1074,640,203,62,0,0,62,141,437,326,45,126,155,111
ACSSF,2010e5,wv,000,0034,0000086,060,54,009,06000US5400993564,"Wellsburg district, Brooke County, West Virginia",1948,1525,421,33,107,281,1104,423,165,124,27,20,77,41,258,189,24,3,162,69
ACSSF,2010e5,wv,000,0034,0000087,060,54,011,06000US5401190764,"District 1, Cabell County, West Virginia",4890,3525,1173,280,158,735,2352,1365,281,175,103,0,72,106,1084,602,95,113,394,482
ACSSF,2010e5,wv,000,0034,0000088,060,54,011,06000US5401190798,"District 2, Cabell County, West Virginia",3136,1862,687,192,155,340,1175,1274,316,168,11,0,157,148,958,499,115,52,332,459
ACSSF,2010e5,wv,000,0034,0000089,060,54,011,06000US5401190834,"District 3, Cabell County, West Virginia",4315,2840,881,324,177,380,1959,1475,340,193,45,0,148,147,1135,675,162,174,339,460
ACSSF,2010e5,wv,000,0034,0000090,060,54,011,06000US5401190870,"District 4, Cabell County, West Virginia",6759,5588,1848,354,386,1108,3740,1171,190,90,0,10,80,100,981,630,158,149,323,351
ACSSF,2010e5,wv,000,0034,0000091,060,54,011,06000US5401190882,"District 5, Cabell County, West Virginia",5595,4505,1563,357,301,905,2942,1090,268,93,33,0,60,175,822,450,82,10,358,372
ACSSF,2010e5,wv,000,0034,0000092,060,54,013,06000US5401390766,"District 1, Calhoun County, West Virginia",324,268,9,0,0,9,259,56,27,0,0,0,0,27,29,19,0,0,19,10
ACSSF,2010e5,wv,000,0034,0000093,060,54,013,06000US5401390800,"District 2, Calhoun County, West Virginia",384,261,70,0,18,52,191,123,76,63,24,26,13,13,47,13,0,0,13,34
ACSSF,2010e5,wv,000,0034,0000094,060,54,013,06000US5401390836,"District 3, Calhoun County, West Virginia",363,275,93,8,39,46,182,88,43,12,12,0,0,31,45,25,3,0,22,20
ACSSF,2010e5,wv,000,0034,0000095,060,54,013,06000US5401390873,"District 4, Calhoun County, West Virginia",499,326,105,0,0,105,221,173,54,45,27,18,0,9,119,20,0,0,20,99
ACSSF,2010e5,wv,000,0034,0000096,060,54,013,06000US5401390885,"District 5, Calhoun County, West Virginia",493,407,187,0,49,138,220,86,38,0,0,0,0,38,48,20,20,0,0,28
ACSSF,2010e5,wv,000,0034,0000097,060,54,015,06000US5401590891,"District A, Clay County, West Virginia",765,529,188,14,75,99,341,236,80,18,0,0,18,62,156,78,10,0,68,78
ACSSF,2010e5,wv,000,0034,0000098,060,54,015,06000US5401590893,"District B, Clay County, West Virginia",893,708,326,85,37,204,382,185,70,34,14,0,20,36,115,42,0,35,7,73
ACSSF,2010e5,wv,000,0034,0000099,060,54,015,06000US5401590895,"District C, Clay County, West Virginia",770,693,257,0,42,215,436,77,24,0,0,0,0,24,53,28,0,8,20,25
ACSSF,2010e5,wv,000,0034,0000100,060,54,017,06000US5401790138,"Beech district, Doddridge County, West Virginia",690,526,173,0,29,144,353,164,76,57,36,0,21,19,88,37,0,37,0,51
ACSSF,2010e5,wv,000,0034,0000101,060,54,017,06000US5401792094,"Maple district, Doddridge County, West Virginia",339,236,73,4,17,52,163,103,7,3,0,3,0,4,96,23,0,0,23,73
ACSSF,2010e5,wv,000,0034,0000102,060,54,017,06000US5401792374,"Oak district, Doddridge County, West Virginia",459,404,73,0,21,52,331,55,23,23,15,0,8,0,32,22,0,0,22,10
ACSSF,2010e5,wv,000,0034,0000103,060,54,017,06000US5401792466,"Pine district, Doddridge County, West Virginia",511,316,122,30,2,90,194,195,72,43,43,0,0,29,123,76,0,0,76,47
ACSSF,2010e5,wv,000,0034,0000104,060,54,019,06000US5401992280,"New Haven district, Fayette County, West Virginia",4166,3336,1118,228,201,689,2218,830,236,92,40,5,47,144,594,303,36,86,181,291
ACSSF,2010e5,wv,000,0034,0000105,060,54,019,06000US5401992472,"Plateau district, Fayette County, West Virginia",4608,3361,1032,201,201,630,2329,1247,342,140,91,0,49,202,905,466,65,33,368,439
ACSSF,2010e5,wv,000,0034,0000106,060,54,019,06000US5401993396,"Valley district, Fayette County, West Virginia",3570,2518,761,92,172,497,1757,1052,333,175,58,15,102,158,719,208,25,40,143,511
ACSSF,2010e5,wv,000,0034,0000107,060,54,021,06000US5402190408,"Center district, Gilmer County, West Virginia",409,282,28,0,0,28,254,127,15,0,0,0,0,15,112,76,10,0,66,36
ACSSF,2010e5,wv,000,0034,0000108,060,54,021,06000US5402190534,"City district, Gilmer County, West Virginia",392,256,136,13,17,106,120,136,25,8,0,0,8,17,111,41,3,23,15,70
ACSSF,2010e5,wv,000,0034,0000109,060,54,021,06000US5402190758,"De Kalb-Troy district, Gilmer County, West Virginia",457,385,175,32,19,124,210,72,43,6,0,0,6,37,29,11,0,0,11,18
ACSSF,2010e5,wv,000,0034,0000110,060,54,021,06000US5402191236,"Glenville district, Gilmer County, West Virginia",291,232,56,25,14,17,176,59,5,5,0,5,0,0,54,13,8,5,0,41
ACSSF,2010e5,wv,000,0034,0000111,060,54,023,06000US5402391296,"Grant district, Grant County, West Virginia",1116,958,366,157,33,176,592,158,0,0,0,0,0,0,158,105,60,14,31,53
ACSSF,2010e5,wv,000,0034,0000112,060,54,023,06000US5402392208,"Milroy district, Grant County, West Virginia",1248,875,249,62,46,141,626,373,148,104,50,0,54,44,225,167,30,0,137,58
ACSSF,2010e5,wv,000,0034,0000113,060,54,023,06000US5402393216,"Union district, Grant County, West Virginia",1087,956,293,64,93,136,663,131,36,4,0,0,4,32,95,49,21,0,28,46
ACSSF,2010e5,wv,000,0034,0000114,060,54,025,06000US5402590449,"Central district, Greenbrier County, West Virginia",3561,2818,1012,250,241,521,1806,743,162,38,35,0,3,124,581,281,74,42,165,300
ACSSF,2010e5,wv,000,0034,0000115,060,54,025,06000US5402590972,"Eastern district, Greenbrier County, West Virginia",3307,2341,653,173,120,360,1688,966,288,165,41,24,100,123,678,353,94,59,200,325
ACSSF,2010e5,wv,000,0034,0000116,060,54,025,06000US5402593601,"Western district, Greenbrier County, West Virginia",3109,2346,814,235,157,422,1532,763,267,107,17,0,90,160,496,271,26,23,222,225
ACSSF,2010e5,wv,000,0034,0000117,060,54,027,06000US5402790204,"Bloomery district, Hampshire County, West Virginia",737,592,184,26,17,141,408,145,131,115,0,0,115,16,14,0,0,0,0,14
ACSSF,2010e5,wv,000,0034,0000118,060,54,027,06000US5402790360,"Capon district, Hampshire County, West Virginia",604,458,138,7,27,104,320,146,26,14,0,0,14,12,120,79,0,0,79,41
ACSSF,2010e5,wv,000,0034,0000119,060,54,027,06000US5402791248,"Gore district, Hampshire County, West Virginia",1157,867,231,18,26,187,636,290,77,54,16,0,38,23,213,76,0,0,76,137
