"GEO_ID","STATE","COUNTY","NAME","LSAD","CENSUSAREA","ZCTA5CE10","AFFGEOID10","GEOID10","ALAND10","AWATER10","zcta_area","intersected_area","percent_intersected_area"
"0500000US11001","11","001","District of Columbia",NA,61.048,"20015","8600000US20015","20015",8930808,12516,8925388.9545742,8924431.4592652,0.999892722287637
"0500000US24031","24","031","Montgomery","County",491.254,"20850","8600000US20850","20850",36498268,194607,36728390.1646507,36728390.1646507,1
"0500000US24021","24","021","Frederick","County",660.221,"21710","8600000US21710","21710",66188947,1147931,67306834.3924079,67306834.3924079,1
"0500000US24033","24","033","Prince George's","County",482.691,"20608","8600000US20608","20608",45581671,5330325,50903057.147275,50846665.6609109,0.998892178789952
"0500000US51187","51","187","Warren","County",213.465,"22610","8600000US22610","22610",133495503,1981052,135475199.871153,135367370.648161,0.999204066699332
"0500000US51059","51","059","Fairfax","County",390.969,"20171","8600000US20171","20171",31324994,189466,31471629.0600874,31471629.0600874,1
"0500000US51059","51","059","Fairfax","County",390.969,"20151","8600000US20151","20151",40146050,351268,40521056.7368097,40521056.7368097,1
"0500000US51059","51","059","Fairfax","County",390.969,"22303","8600000US22303","22303",3757993,112083,3849326.11803671,3826175.84942476,0.99398589054238
"0500000US51153","51","153","Prince William","County",336.402,"22172","8600000US22172","22172",32696852,437320,33104080.3034031,33104080.3034031,1
"0500000US24017","24","017","Charles","County",457.749,"20658","8600000US20658","20658",7793940,14245,7780603.00990778,7780603.00990778,1
"0500000US11001","11","001","District of Columbia",NA,61.048,"20036","8600000US20036","20036",862180,0,832414.929822825,832414.929822825,1
"0500000US11001","11","001","District of Columbia",NA,61.048,"20373","8600000US20373","20373",935789,1808,929410.079749107,929410.079749107,1
"0500000US24017","24","017","Charles","County",457.749,"20662","8600000US20662","20662",147925772,25017481,154331075.977391,153680682.15354,0.995785723518529
"0500000US24017","24","017","Charles","County",457.749,"20664","8600000US20664","20664",106495350,14123467,111086049.810525,110654267.142211,0.996113079283582
"0500000US24017","24","017","Charles","County",457.749,"20677","8600000US20677","20677",39784276,5019646,44780216.9607627,44780216.9607568,0.999999999999867
"0500000US24009","24","009","Calvert","County",213.152,"20689","8600000US20689","20689",20159519,57159,20260282.8686056,20260282.8686056,1
"0500000US24017","24","017","Charles","County",457.749,"20695","8600000US20695","20695",32759671,133483,32925359.2216883,32925359.2216883,1
"0500000US24033","24","033","Prince George's","County",482.691,"20708","8600000US20708","20708",36138182,784565,36947101.6186681,36917742.896832,0.999205384981503
"0500000US24033","24","033","Prince George's","County",482.691,"20715","8600000US20715","20715",37643192,169222,37839684.6002314,37775503.5440733,0.998303869156518
"0500000US24033","24","033","Prince George's","County",482.691,"20716","8600000US20716","20716",29888297,178419,30068705.9939985,30043571.4514675,0.999164096302114
"0500000US24033","24","033","Prince George's","County",482.691,"20721","8600000US20721","20721",43263246,376690,43679265.6821303,43679265.6821303,1
"0500000US24033","24","033","Prince George's","County",482.691,"20722","8600000US20722","20722",3813417,79479,3902682.20790061,3902682.20790061,1
"0500000US24033","24","033","Prince George's","County",482.691,"20735","8600000US20735","20735",67144564,283246,67401459.5561455,67401459.5561455,1
"0500000US24009","24","009","Calvert","County",213.152,"20736","8600000US20736","20736",66162266,1655246,67797705.7078018,66807898.836174,0.985400584558219
"0500000US24033","24","033","Prince George's","County",482.691,"20743","8600000US20743","20743",25185430,7879,25125227.7243776,25125239.9835587,1.00000048792318
"0500000US24033","24","033","Prince George's","County",482.691,"20745","8600000US20745","20745",16743866,262294,17026104.0344293,16999847.0066376,0.998457836993205
"0500000US24033","24","033","Prince George's","County",482.691,"20746","8600000US20746","20746",20393129,49001,20426906.8271406,20426906.8271389,0.999999999999918
"0500000US24033","24","033","Prince George's","County",482.691,"20748","8600000US20748","20748",23527438,12156,23563930.1042593,23563927.684519,0.999999897311686
"0500000US24017","24","017","Charles","County",457.749,"20602","8600000US20602","20602",35885901,297632,36157034.0888423,36157034.0888423,1
"0500000US24017","24","017","Charles","County",457.749,"20603","8600000US20603","20603",44239724,219356,44414836.5369207,44383832.1026013,0.999301935192454
"0500000US24017","24","017","Charles","County",457.749,"20612","8600000US20612","20612",604744,1337569,1955041.30454393,1930926.25571394,0.98766519726517
"0500000US24017","24","017","Charles","County",457.749,"20617","8600000US20617","20617",16956206,14456,16982806.3976562,16982806.3976562,1
"0500000US24017","24","017","Charles","County",457.749,"20622","8600000US20622","20622",96810317,1645405,98447824.6891267,82611536.8484765,0.839140296998362
"0500000US24009","24","009","Calvert","County",213.152,"20629","8600000US20629","20629",1116992,448506,1534518.7973628,1534518.7973628,1
"0500000US24017","24","017","Charles","County",457.749,"20632","8600000US20632","20632",19035992,424172,19473833.6889404,19473833.6889404,1
"0500000US24009","24","009","Calvert","County",213.152,"20657","8600000US20657","20657",77903250,22483510,88509899.216997,88248614.9379108,0.997047965466036
"0500000US54037","54","037","Jefferson","County",209.635,"25442","8600000US25442","25442",36803645,0,36776801.2502,36776801.2502,1
"0500000US54037","54","037","Jefferson","County",209.635,"25430","8600000US25430","25430",123959443,55145,123989023.234291,113416735.340668,0.914732065647086
"0500000US24033","24","033","Prince George's","County",482.691,"20769","8600000US20769","20769",19902927,268745,20055143.0879007,20055143.0879007,1
"0500000US24033","24","033","Prince George's","County",482.691,"20770","8600000US20770","20770",21272824,195270,21484671.5212193,21484671.5212193,1
"0500000US24033","24","033","Prince George's","County",482.691,"20774","8600000US20774","20774",89938911,485768,90390513.6207469,90373288.1188459,0.999809432414853
"0500000US24031","24","031","Montgomery","County",491.254,"20906","8600000US20906","20906",31274656,196973,31436186.5011302,31436186.5011302,1
"0500000US24031","24","031","Montgomery","County",491.254,"20910","8600000US20910","20910",11772250,29563,11894977.8717403,11894979.9571474,1.00000017531828
"0500000US24031","24","031","Montgomery","County",491.254,"20912","8600000US20912","20912",6920232,14036,7053714.01668096,6437356.80950665,0.912619478799861
"0500000US24031","24","031","Montgomery","County",491.254,"20874","8600000US20874","20874",55154305,3336889,58459166.0034774,58459163.9081317,0.999999964157105
"0500000US24031","24","031","Montgomery","County",491.254,"20832","8600000US20832","20832",26074532,55398,26114576.2806677,26114576.2806677,1
"0500000US24031","24","031","Montgomery","County",491.254,"20833","8600000US20833","20833",50717315,1714127,52390690.5084159,47461298.3304139,0.905910914130629
