estimate_year,index,TX_015,TX_039,TX_071,TX_157,TX_167,TX_201,TX_291,TX_339,TX_473
2013-2017,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2013-2017,"B25127_59_mobile_home,_boat,_rv,_van,_etc.",67,437,147,400,761,2772,263,1482,324
2013-2017,B25127_60_built_1980_to_1999,1086,10703,995,19577,11516,224410,3126,20374,1612
2013-2017,"B25127_61_1,_detached__or_attached",239,2742,277,9893,2865,43833,743,6463,418
2013-2017,B25127_62_2_to_4,190,802,28,492,1197,20685,401,1009,372
2013-2017,B25127_63_5_to_19,137,3423,255,4628,3319,86064,631,4721,220
2013-2017,B25127_64_20_to_49,136,975,105,1370,1113,24280,85,1462,4
2013-2017,B25127_65_50_or_more,34,782,65,1559,2011,41098,129,1837,108
2013-2017,"B25127_66_mobile_home,_boat,_rv,_van,_etc.",350,1979,265,1635,1011,8450,1137,4882,490
2013-2017,B25127_67_built_1960_to_1979,685,7680,537,7874,11065,235971,1521,9118,1245
2013-2017,"B25127_68_1,_detached__or_attached",375,2702,290,5386,4550,58241,960,4591,533
2013-2017,B25127_69_2_to_4,226,557,0,329,1511,19258,169,693,218
2013-2017,B25127_70_5_to_19,30,2427,26,1257,2339,90811,60,1491,341
2013-2017,B25127_71_20_to_49,9,329,14,183,825,28652,21,336,72
2013-2017,B25127_72_50_or_more,0,688,25,265,1192,34584,58,591,13
2013-2017,"B25127_73_mobile_home,_boat,_rv,_van,_etc.",45,977,182,454,648,4425,253,1416,68
2013-2017,B25127_74_built_1940_to_1959,276,3697,137,1431,4691,62876,476,1158,461
2013-2017,"B25127_75_1,_detached__or_attached",257,2776,104,1266,3291,38002,384,814,381
2013-2017,B25127_76_2_to_4,19,304,0,84,559,6286,49,62,80
2013-2017,B25127_77_5_to_19,0,256,26,31,368,9188,43,46,0
2013-2017,B25127_78_20_to_49,0,96,0,0,245,3684,0,87,0
2013-2017,B25127_79_50_or_more,0,108,0,44,205,5180,0,0,0
2013-2017,"B25127_80_mobile_home,_boat,_rv,_van,_etc.",0,157,7,6,23,536,0,149,0
2013-2017,B25127_81_built_1939_or_earlier,349,594,28,405,2293,17881,345,327,98
2013-2017,"B25127_82_1,_detached__or_attached",349,375,20,320,1132,8389,326,248,98
2013-2017,B25127_83_2_to_4,0,88,8,0,662,3439,8,0,0
2013-2017,B25127_84_5_to_19,0,83,0,24,286,2971,0,12,0
2013-2017,B25127_85_20_to_49,0,12,0,0,142,797,0,0,0
2013-2017,B25127_86_50_or_more,0,17,0,0,20,1998,11,16,0
2013-2017,"B25127_87_mobile_home,_boat,_rv,_van,_etc.",0,19,0,61,51,287,0,51,0
2013-2017,B03002_1_total,29292,345995,39283,711421,321184,4525519,79884,535187,48443
2013-2017,B03002_2_not_hispanic_or_latino,21694,243280,30887,539472,244378,2614984,62396,412253,34213
2013-2017,B03002_3_white_alone,18533,169835,26720,244432,186380,1386576,52576,363190,20853
2013-2017,B03002_4_black_or_african_american_alone,2601,44790,3154,143866,40304,838285,7972,23915,12041
2013-2017,B03002_5_american_indian_and_alaska_native_alone,11,1054,42,1351,832,8078,269,746,36
2013-2017,B03002_6_asian_alone,58,21494,506,136748,10650,307109,454,14823,351
2013-2017,B03002_7_native_hawaiian_and_other_pacific_islander_alone,0,7,0,117,114,2543,5,462,20
2013-2017,B03002_8_some_other_race_alone,28,443,0,1091,153,9681,65,673,66
2013-2017,B03002_9_two_or_more_races,463,5657,465,11867,5945,62712,1055,8444,846
2013-2017,B03002_10_two_races_including_some_other_race,0,88,0,1608,422,3651,31,325,13
2013-2017,"B03002_11_two_races_excluding_some_other_race,_and_three_or_more_races",463,5569,465,10259,5523,59061,1024,8119,833
2013-2017,B03002_12_hispanic_or_latino,7598,102715,8396,171949,76806,1910535,17488,122934,14230
