index,48085,48097,48113,48121,48139,48147,48181,48213,48221,48223,48231,48251,48257,48349,48363,48367,48397,48425,48439,48497,40013,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2008-2012
FILETYPE,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2008-2012
STATE,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,ok,2008-2012
B25024_1_total,301250,16575,944055,255790,54354,14147,53762,39543,24715,15014,36581,56723,38047,20238,15207,46173,27947,3642,714057,23634,19523,2008-2012
"B25024_2_1,_detached",212107,12491,527212,171940,41774,10831,39631,24764,16523,11081,23657,38738,28092,14001,10523,33359,24121,2492,477682,15296,13457,2008-2012
"B25024_3_1,_attached",8046,154,36559,4642,713,44,685,390,546,62,302,567,356,272,310,531,725,34,23495,274,200,2008-2012
B25024_4_2,1294,412,13333,1512,1515,445,1639,297,273,225,483,1432,522,562,183,726,119,90,13061,408,404,2008-2012
B25024_5_3_or_4,5745,411,36717,5304,1062,407,1053,767,446,140,744,1553,793,602,378,846,318,31,27244,345,350,2008-2012
B25024_6_5_to_9,17559,198,92162,13530,1210,204,1988,809,286,561,2092,900,680,297,329,563,521,138,46392,341,505,2008-2012
B25024_7_10_to_19,23947,97,91866,21290,1012,70,1669,163,205,348,1184,458,627,273,199,515,340,28,54499,108,514,2008-2012
B25024_8_20_to_49,10917,248,55313,18092,571,37,900,168,172,241,518,467,246,173,145,273,280,45,27859,107,232,2008-2012
B25024_9_50_or_more,14371,80,75368,7953,619,46,804,198,397,190,624,330,139,250,213,227,382,0,28408,57,266,2008-2012
B25024_10_mobile_home,7115,2432,15120,11398,5792,2017,5251,11886,5683,2150,6915,12152,6570,3786,2921,8957,1124,784,14791,6561,3559,2008-2012
"B25024_11_boat,_rv,_van,_etc.",149,52,405,129,86,46,142,101,184,16,62,126,22,22,6,176,17,0,626,137,36,2008-2012
B25077_1_median_value_(dollars),204900,108600,129100,182200,139000,91700,103200,87700,148600,93600,93700,114900,127800,79000,84900,153100,194000,133500,136300,121400,87500,2008-2012
B25034_1_total,301250,16575,944055,255790,54354,14147,53762,39543,24715,15014,36581,56723,38047,20238,15207,46173,27947,3642,714057,23634,19523,2008-2012
B25034_2_built_2010_or_later,2883,6,3022,2877,436,64,83,135,156,107,174,250,425,94,226,201,405,0,3168,75,113,2008-2012
B25034_3_built_2000_to_2009,104043,2914,131625,90471,15510,2396,7665,5700,6306,2327,6611,15215,14477,3028,1953,13901,12705,665,164230,5807,3394,2008-2012
B25034_4_built_1990_to_1999,89145,2137,107344,58209,10741,2371,7951,7489,5095,2343,6033,10338,7053,2688,1893,9797,5676,766,105628,5612,2749,2008-2012
