estimate_year,index,NY_005,NY_027,NY_047,NY_059,NY_061,NY_071,NY_079,NY_081,NY_085,NY_087,NY_103,NY_119,NJ_003,NJ_013,NJ_017,NJ_019,NJ_023,NJ_025,NJ_027,NJ_029,NJ_031,NJ_035,NJ_037,NJ_039,PA_103
2009-2013,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2009-2013,FILETYPE,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5
2009-2013,STATE,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,pa
2009-2013,B02001_1_total,1397315,297385,2539789,1343765,1605272,373902,99718,2256400,470223,315069,1495803,956283,912795,785853,644605,127047,817026,629735,495261,578902,502854,326207,147924,540568,57179
2009-2013,B02001_2_white_alone,308645,235801,1124830,963399,915330,284911,89382,955167,355183,227418,1221821,640921,659011,336779,357072,116175,508506,523186,407342,530983,337688,227782,138451,316214,51138
2009-2013,B02001_3_black_or_african_american_alone,478157,29259,863111,149883,245951,37697,2068,420675,49332,38953,111755,135903,51861,317439,83576,3249,78588,46303,15683,17847,63912,29128,3011,116642,3008
2009-2013,B02001_4_american_indian_and_alaska_native_alone,7610,687,9142,2888,5184,1013,327,9305,1180,777,3496,2149,1780,1579,2805,77,1595,1365,698,796,1784,624,214,889,32
2009-2013,B02001_5_asian_alone,49913,11257,275845,107176,182021,9483,2183,532780,36995,19952,52761,52096,136328,37303,89164,4134,181870,32523,45769,10185,26091,48079,2623,25400,514
2009-2013,B02001_6_native_hawaiian_and_other_pacific_islander_alone,869,3,1208,146,1048,60,0,1250,28,16,236,80,130,434,232,231,207,63,86,84,108,44,24,350,15
2009-2013,B02001_7_some_other_race_alone,501358,12460,213736,84590,192978,28679,3682,262300,18983,22385,75001,96093,44770,64184,90783,1545,27901,12761,16000,10039,56680,13944,1498,71790,1079
2009-2013,B02001_8_two_or_more_races,50763,7918,51917,35683,62760,12059,2076,74923,8522,5568,30733,29041,18915,28135,20973,1636,18359,13534,9683,8968,16591,6606,2103,9283,1393
2009-2013,B02001_9_two_races_including_some_other_race,28539,1182,14564,13665,14521,3334,539,28893,2348,1883,10387,7950,4568,6406,8138,300,5567,1661,2460,1623,3473,1163,455,2779,142
2009-2013,"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",22224,6736,37353,22018,48239,8725,1537,46030,6174,3685,20346,21091,14347,21729,12835,1336,12792,11873,7223,7345,13118,5443,1648,6504,1251
2009-2013,B11001_1_total,474842,107830,916025,441955,736192,125317,34496,778630,164609,98326,497347,343561,335422,277302,243875,46816,280988,233909,179665,221774,162543,115531,54746,185483,21581
2009-2013,B11001_2_family_households,312858,73240,583135,339120,301894,89873,26518,525368,121285,74429,374411,237934,239574,182399,150173,34083,203110,162846,129417,148963,116967,83994,40633,131541,15528
2009-2013,B11001_3_married-couple_family,127457,57138,345303,267641,193747,68694,21802,347743,90140,59932,291325,177535,188084,107552,92850,28999,156109,128951,108474,118902,77335,69642,33636,91874,12349
2009-2013,B11001_4_other_family,185401,16102,237832,71479,108147,21179,4716,177625,31145,14497,83086,60399,51490,74847,57323,5084,47001,33895,20943,30061,39632,14352,6997,39667,3179
