index,48015,48039,48071,48157,48167,48201,48291,48321,48339,48455,48471,48473,48477,48481,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2012-2016
FILETYPE,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2012-2016
STATE,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,2012-2016
B25034_4_built_2000_to_2009,2797,33269,4830,78981,32600,354177,5757,1834,67895,1486,5262,4047,3044,1713,2012-2016
B25034_5_built_1990_to_1999,2133,21897,2863,43206,20613,217670,6529,2239,44059,1807,5424,3424,2756,1837,2012-2016
B25034_6_built_1980_to_1989,2151,18525,1699,36250,20639,268708,5316,3182,27814,1831,6060,2516,2291,2547,2012-2016
B25034_7_built_1970_to_1979,1617,19497,1653,27083,22542,353539,4399,4065,27607,1585,3917,2237,2346,2995,2012-2016
B25034_8_built_1960_to_1969,822,11566,859,4749,14910,179253,2993,2901,7553,655,1619,1214,1532,2140,2012-2016
B25034_9_built_1950_to_1959,639,8687,666,3177,9982,135063,1921,2440,2563,376,858,551,1033,2363,2012-2016
B25034_10_built_1940_to_1949,687,3636,334,1089,3866,56032,599,782,1183,242,343,565,690,1701,2012-2016
B25034_11_built_1939_or_earlier,1596,1797,365,1681,7692,49380,831,1269,1258,652,475,683,1459,1502,2012-2016
B25127_1_total,11222,114290,12967,214126,115685,1536259,25611,13666,179587,5459,20695,14082,11984,14979,2012-2016
B25127_2_owner_occupied,8260,81646,10436,167037,76547,837912,19193,9167,128765,4384,11134,9632,9156,10138,2012-2016
B25127_3_built_2010_or_later,532,4803,1114,22811,4907,40001,779,137,11022,70,490,730,412,398,2012-2016
"B25127_4_1,_detached__or_attached",331,4325,1034,22724,4794,38791,449,94,10449,44,360,623,386,258,2012-2016
B25127_5_2_to_4,0,0,0,0,7,93,0,0,0,0,0,0,0,13,2012-2016
B25127_6_5_to_19,0,0,0,18,0,149,0,0,0,0,0,0,0,0,2012-2016
B25127_7_20_to_49,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2012-2016
B25127_8_50_or_more,0,0,0,0,8,48,0,0,0,0,0,0,0,0,2012-2016
"B25127_9_mobile_home,_boat,_rv,_van,_etc.",201,478,80,69,98,916,330,43,573,26,130,107,26,127,2012-2016
B25127_10_built_2000_to_2009,1865,24166,3601,61991,19194,194020,4364,1026,46656,809,2296,2586,1752,1154,2012-2016
"B25127_11_1,_detached__or_attached",1558,22036,3239,60999,18093,186098,2284,929,41771,531,1555,2007,1547,913,2012-2016
B25127_12_2_to_4,0,0,0,43,35,350,13,0,71,0,0,0,0,0,2012-2016
B25127_13_5_to_19,0,31,0,91,52,478,0,0,206,0,12,0,0,0,2012-2016
B25127_14_20_to_49,0,0,0,0,25,356,0,0,27,0,0,0,0,0,2012-2016
B25127_15_50_or_more,0,51,0,58,45,1725,0,0,65,0,0,0,0,0,2012-2016
"B25127_16_mobile_home,_boat,_rv,_van,_etc.",307,2048,362,800,944,5013,2067,97,4516,278,729,579,205,241,2012-2016
B25127_17_built_1980_to_1999,2596,25561,3040,56898,22906,234758,7126,2781,45620,1691,4485,3480,2919,2454,2012-2016
"B25127_18_1,_detached__or_attached",1846,21108,2185,54085,20491,214978,3921,1724,36596,931,2812,2134,2224,1708,2012-2016
B25127_19_2_to_4,0,107,0,76,51,1136,0,8,199,0,36,0,21,24,2012-2016
B25127_20_5_to_19,0,48,0,10,217,3287,7,36,131,0,0,0,0,0,2012-2016
B25127_21_20_to_49,0,0,0,0,24,763,0,0,49,0,0,0,0,0,2012-2016
B25127_22_50_or_more,0,29,0,0,175,2518,0,0,9,0,0,0,0,0,2012-2016
"B25127_23_mobile_home,_boat,_rv,_van,_etc.",750,4269,855,2727,1948,12076,3198,1013,8636,760,1637,1346,674,722,2012-2016
B25127_24_built_1960_to_1979,1616,19041,1679,21623,19739,236269,4878,3066,22453,1045,2833,1854,2277,2964,2012-2016
"B25127_25_1,_detached__or_attached",1557,17574,1436,21076,18697,220890,4300,2558,19527,738,2578,1629,1981,2692,2012-2016
B25127_26_2_to_4,0,34,0,24,70,1669,9,0,151,28,0,6,28,0,2012-2016
B25127_27_5_to_19,17,16,0,24,48,5130,0,34,10,6,0,17,0,0,2012-2016
B25127_28_20_to_49,0,0,0,0,27,1211,0,0,201,0,4,0,0,0,2012-2016
B25127_29_50_or_more,0,0,0,0,110,3126,0,0,124,0,0,0,0,0,2012-2016
"B25127_30_mobile_home,_boat,_rv,_van,_etc.",42,1417,243,499,787,4243,569,474,2440,273,251,202,268,272,2012-2016
B25127_31_built_1940_to_1959,778,7079,687,2629,6762,108905,1514,1508,2274,323,746,521,1022,2354,2012-2016
"B25127_32_1,_detached__or_attached",768,6997,687,2603,6657,106643,1498,1484,2167,311,746,521,1022,2333,2012-2016
B25127_33_2_to_4,0,38,0,0,67,655,0,19,0,0,0,0,0,0,2012-2016
B25127_34_5_to_19,0,0,0,26,0,248,0,0,0,0,0,0,0,0,2012-2016
B25127_35_20_to_49,0,0,0,0,0,93,0,0,0,0,0,0,0,0,2012-2016
B25127_36_50_or_more,0,0,0,0,8,595,0,0,0,0,0,0,0,0,2012-2016
"B25127_37_mobile_home,_boat,_rv,_van,_etc.",10,44,0,0,30,671,16,5,107,12,0,0,0,21,2012-2016
B25127_38_built_1939_or_earlier,873,996,315,1085,3039,23959,532,649,740,446,284,461,774,814,2012-2016
"B25127_39_1,_detached__or_attached",873,988,292,973,2870,22987,494,630,715,442,284,418,761,802,2012-2016
B25127_40_2_to_4,0,8,0,0,77,379,0,0,0,0,0,0,0,0,2012-2016
B25127_41_5_to_19,0,0,0,0,56,50,0,0,0,0,0,0,0,0,2012-2016
B25127_42_20_to_49,0,0,0,0,19,107,0,0,0,0,0,0,0,0,2012-2016
B25127_43_50_or_more,0,0,0,0,0,299,0,0,14,0,0,0,0,12,2012-2016
"B25127_44_mobile_home,_boat,_rv,_van,_etc.",0,0,23,112,17,137,38,19,11,4,0,43,13,0,2012-2016
B25127_45_renter_occupied,2962,32644,2531,47089,39138,698347,6418,4499,50822,1075,9561,4450,2828,4841,2012-2016
B25127_46_built_2010_or_later,31,2993,19,4495,1623,30002,317,57,4486,0,521,154,63,127,2012-2016
"B25127_47_1,_detached__or_attached",31,224,5,1206,460,4954,130,37,1359,0,145,59,41,52,2012-2016
B25127_48_2_to_4,0,80,0,119,299,1667,80,0,197,0,208,21,0,0,2012-2016
B25127_49_5_to_19,0,1121,0,1801,298,7755,70,0,1062,0,51,0,22,75,2012-2016
B25127_50_20_to_49,0,1080,0,591,166,3723,0,0,711,0,76,0,0,0,2012-2016
B25127_51_50_or_more,0,316,0,765,361,11627,0,4,1034,0,32,0,0,0,2012-2016
"B25127_52_mobile_home,_boat,_rv,_van,_etc.",0,172,14,13,39,276,37,16,123,0,9,74,0,0,2012-2016
B25127_53_built_2000_to_2009,484,7003,672,13886,8243,133049,638,136,15548,142,2273,969,287,361,2012-2016
"B25127_54_1,_detached__or_attached",152,2207,316,6463,2274,32842,177,46,5662,88,310,230,220,122,2012-2016
B25127_55_2_to_4,69,503,0,415,652,7817,104,44,978,2,469,252,11,37,2012-2016
B25127_56_5_to_19,44,2419,67,3454,2663,39424,83,26,3582,19,493,131,17,56,2012-2016
B25127_57_20_to_49,7,721,0,1124,952,14513,0,20,1819,0,475,0,17,19,2012-2016
B25127_58_50_or_more,24,668,53,1888,978,35648,26,0,2153,0,128,0,0,18,2012-2016
"B25127_59_mobile_home,_boat,_rv,_van,_etc.",188,485,236,542,724,2805,248,0,1354,33,398,356,22,109,2012-2016
