"NAME","year","CBSA","hhs_type","hhs_share","hhs_type_name"
"New York-Newark-Jersey City, NY-NJ-PA",2017,35620,"hhs_2",0.292378641988932,"hh size: 2"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1970,37980,"hhs_2",NA,"hh size: 2"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1980,37980,"hhs_2",0.293403078105908,"hh size: 2"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1990,37980,"hhs_2",0.300456633869796,"hh size: 2"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2000,37980,"hhs_2",0.304959965683534,"hh size: 2"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2009,37980,"hhs_2",0.310225244633254,"hh size: 2"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013,37980,"hhs_2",0.311722059021005,"hh size: 2"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2017,37980,"hhs_2",0.31839593231952,"hh size: 2"
"Washington-Arlington-Alexandria, DC-VA-MD-WV",1970,47900,"hhs_2",NA,"hh size: 2"
"Washington-Arlington-Alexandria, DC-VA-MD-WV",1980,47900,"hhs_2",0.287327404917897,"hh size: 2"
"Washington-Arlington-Alexandria, DC-VA-MD-WV",1990,47900,"hhs_2",0.30661639945196,"hh size: 2"
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2000,47900,"hhs_2",0.306194531471888,"hh size: 2"
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2009,47900,"hhs_2",0.305863797724695,"hh size: 2"
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2013,47900,"hhs_2",0.306999805384304,"hh size: 2"
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2017,47900,"hhs_2",0.305739910065925,"hh size: 2"
NA,2009,47900,"hhs_2",0.286782624649514,"hh size: 2"
NA,2013,47900,"hhs_2",0.29687956335886,"hh size: 2"
NA,2017,47900,"hhs_2",0.305315034983902,"hh size: 2"
NA,2000,47900,"hhs_2",0.273631280421578,"hh size: 2"
NA,1990,47900,"hhs_2",0.268742420713638,"hh size: 2"
NA,1980,47900,"hhs_2",0.256562165396485,"hh size: 2"
NA,1970,47900,"hhs_2",NA,"hh size: 2"
NA,2009,47900,"hhs_2",0.317918880742584,"hh size: 2"
NA,2013,47900,"hhs_2",0.340749603854736,"hh size: 2"
NA,2017,47900,"hhs_2",0.350899497806878,"hh size: 2"
NA,2000,47900,"hhs_2",0.309737297467359,"hh size: 2"
NA,1990,47900,"hhs_2",0.298105859444149,"hh size: 2"
NA,1980,47900,"hhs_2",0.275624301155423,"hh size: 2"
NA,1970,47900,"hhs_2",NA,"hh size: 2"
NA,2009,47900,"hhs_2",0.317698229564436,"hh size: 2"
NA,2013,47900,"hhs_2",0.314320838292973,"hh size: 2"
NA,2017,47900,"hhs_2",0.290408816469048,"hh size: 2"
NA,2000,47900,"hhs_2",0.305170965806839,"hh size: 2"
NA,1990,47900,"hhs_2",0.276522742454606,"hh size: 2"
NA,1980,47900,"hhs_2",0.232813889278862,"hh size: 2"
NA,1970,47900,"hhs_2",NA,"hh size: 2"
NA,2009,47900,"hhs_2",0.325676107980412,"hh size: 2"
NA,2013,47900,"hhs_2",0.327333588148766,"hh size: 2"
NA,2017,47900,"hhs_2",0.34334940347915,"hh size: 2"
NA,2000,47900,"hhs_2",0.325693503529915,"hh size: 2"
NA,1990,47900,"hhs_2",0.315004359528413,"hh size: 2"
NA,1980,47900,"hhs_2",0.287795506697262,"hh size: 2"
NA,1970,47900,"hhs_2",NA,"hh size: 2"
